Sector_name,Country_here,d2014_2018,d2018_2022,d2022_2023,Grid,d2014_2019,d2019_2023,d2023_2024,d2018_2024,d2024_2025
"Legal services","FIN",-5.854801,12.02322,0,"STRI2023",,,,,
"Accounting services","FIN",-8.808661,11.40142,0,"STRI2023",,,,,
"Commercial banking","FIN",-7.590757,15.35715,0,"STRI2023",,,,,
"Insurance","FIN",-1.163676,5.248682,0,"STRI2023",,,,,
"Physical infrastructure services","FIN",,,,"STRI2023",,,,,
"Construction","FIN",-17.10539,12.37867,0,"STRI2023",,,,,
"Architecture services","FIN",-4.965513,15.38461,0,"STRI2023",,,,,
"Engineering services","FIN",-7.252163,12.98421,0,"STRI2023",,,,,
"Digital network","FRA",,,,"STRI2023",,,,,
"Computer services","FRA",-.0629762,-7.670249,0,"STRI2023",,,,,
"Telecommunication","FRA",-1.979436,3.792321,0,"STRI2023",,,,,
"Broadcasting","FRA",-3.440857,0,0,"STRI2023",,,,,
"Motion pictures","FRA",-2.390947,-5.801468,0,"STRI2023",,,,,
"Sound recording","FRA",.0681161,-10.89177,0,"STRI2023",,,,,
"Logistics and related services","FRA",,,,"STRI2023",,,,,
"Air transport","FRA",-.1308535,-2.496384,0,"STRI2023",,,,,
"Maritime transport","FRA",.9708638,-4.647439,0,"STRI2023",,,,,
"Road freight transport","FRA",-.94955,-4.613546,0,"STRI2023",,,,,
"Rail freight transport","FRA",.9615367,-3.015875,0,"STRI2023",,,,,
"Courier services","FRA",.0922195,-9.981569,0,"STRI2023",,,,,
"Distribution services","FRA",5.5609,-2.958171,4.835806,"STRI2023",,,,,
"Cargo-handling","FRA",3.649624,-8.274644,0,"STRI2023",,,,,
"Storage and warehouse","FRA",6.818659,-4.188791,0,"STRI2023",,,,,
"Freight-forwarding","FRA",-.9090901,-2.752291,0,"STRI2023",,,,,
"Customs brokerage","FRA",-5.639095,-6.573702,0,"STRI2023",,,,,
"Market bridging and supporting services","FRA",,,,"STRI2023",,,,,
"Legal services","FRA",0,0,0,"STRI2023",,,,,
"Accounting services","FRA",-2.808778,-2.969121,0,"STRI2023",,,,,
"Commercial banking","FRA",6.666667,-2.916662,0,"STRI2023",,,,,
"Insurance","FRA",-2.411821,-3.056076,0,"STRI2023",,,,,
"Physical infrastructure services","FRA",,,,"STRI2023",,,,,
"Construction","FRA",-1.536646,-5.438175,0,"STRI2023",,,,,
"Architecture services","FRA",-5.308469,-4.621208,0,"STRI2023",,,,,
"Engineering services","FRA",-2.787768,-6.938021,0,"STRI2023",,,,,
"Digital network","GBR",,,,"STRI2023",,,,,
"Computer services","GBR",11.24595,-20.21818,0,"STRI2023",,,,,
"Telecommunication","GBR",5.4153,-10.27421,0,"STRI2023",,,,,
"Broadcasting","GBR",1.944441,8.174386,0,"STRI2023",,,,,
"Motion pictures","GBR",4.014098,1.895715,0,"STRI2023",,,,,
"Sound recording","GBR",7.572998,-4.325706,0,"STRI2023",,,,,
"Logistics and related services","GBR",,,,"STRI2023",,,,,
"Air transport","GBR",1.117323,-47.51381,0,"STRI2023",,,,,
"Maritime transport","GBR",7.692307,-31.07144,0,"STRI2023",,,,,
"Road freight transport","GBR",3.514813,-6.790946,0,"STRI2023",,,,,
"Rail freight transport","GBR",4.794522,-9.150331,0,"STRI2023",,,,,
"Courier services","GBR",3.831077,-7.379437,0,"STRI2023",,,,,
"Distribution services","GBR",18.19398,-9.966022,0,"STRI2023",,,,,
"Cargo-handling","GBR",7.908607,-14.65797,0,"STRI2023",,,,,
"Storage and warehouse","GBR",13.95299,-9.0421,0,"STRI2023",,,,,
"Freight-forwarding","GBR",7.042255,-13.1579,0,"STRI2023",,,,,
"Customs brokerage","GBR",2.926828,-5.687211,0,"STRI2023",,,,,
"Market bridging and supporting services","GBR",,,,"STRI2023",,,,,
"Legal services","GBR",5.20111,-4.943969,0,"STRI2023",,,,,
"Accounting services","GBR",3.444375,-3.329688,0,"STRI2023",,,,,
"Commercial banking","GBR",11.16503,-13.97379,-7.106599,"STRI2023",,,,,
"Insurance","GBR",2.307526,-4.51096,0,"STRI2023",,,,,
"Physical infrastructure services","GBR",,,,"STRI2023",,,,,
"Construction","GBR",10.14155,-9.207739,0,"STRI2023",,,,,
"Architecture services","GBR",5.179851,-4.924756,0,"STRI2023",,,,,
"Engineering services","GBR",9.775785,-8.90523,0,"STRI2023",,,,,
"Digital network","GRC",,,,"STRI2023",,,,,
"Computer services","GRC",0,4.918451,0,"STRI2023",,,,,
"Telecommunication","GRC",0,8.714145,0,"STRI2023",,,,,
"Broadcasting","GRC",1.920527,0,0,"STRI2023",,,,,
"Motion pictures","GRC",0,7.922526,0,"STRI2023",,,,,
"Sound recording","GRC",9.009011,8.264458,0,"STRI2023",,,,,
"Logistics and related services","GRC",,,,"STRI2023",,,,,
"Air transport","GRC",0,1.206347,0,"STRI2023",,,,,
"Maritime transport","GRC",0,2.81008,0,"STRI2023",,,,,
"Road freight transport","GRC",0,4.453439,0,"STRI2023",,,,,
"Rail freight transport","GRC",-7.517485,3.591676,0,"STRI2023",,,,,
"Courier services","GRC",5.23361,5.877564,0,"STRI2023",,,,,
"Distribution services","GRC",5.301922,2.426899,0,"STRI2023",,,,,
"Cargo-handling","GRC",-3.245943,6.064513,0,"STRI2023",,,,,
"Storage and warehouse","GRC",8.021905,3.785549,0,"STRI2023",,,,,
"Freight-forwarding","GRC",0,1.898732,0,"STRI2023",,,,,
"Customs brokerage","GRC",0,3.990336,0,"STRI2023",,,,,
"Market bridging and supporting services","GRC",,,,"STRI2023",,,,,
"Legal services","GRC",0,0,0,"STRI2023",,,,,
"Accounting services","GRC",0,3.091508,0,"STRI2023",,,,,
"Commercial banking","GRC",0,-8.285708,-4.361371,"STRI2023",,,,,
"Insurance","GRC",-1.020792,-4.163858,0,"STRI2023",,,,,
"Physical infrastructure services","GRC",,,,"STRI2023",,,,,
"Construction","GRC",0,3.32014,0,"STRI2023",,,,,
"Architecture services","GRC",-4.610651,6.552095,0,"STRI2023",,,,,
"Engineering services","GRC",-5.469559,4.093887,0,"STRI2023",,,,,
"Digital network","HUN",,,,"STRI2023",,,,,
"Computer services","HUN",41.8989,13.86726,0,"STRI2023",,,,,
"Telecommunication","HUN",13.35868,16.24926,0,"STRI2023",,,,,
"Broadcasting","HUN",11.45946,10.66926,0,"STRI2023",,,,,
"Motion pictures","HUN",15.27126,16.09529,0,"STRI2023",,,,,
"Sound recording","HUN",24.05798,9.345796,0,"STRI2023",,,,,
"Logistics and related services","HUN",,,,"STRI2023",,,,,
"Air transport","HUN",4.443205,1.20314,0,"STRI2023",,,,,
"Road freight transport","HUN",15.72861,12.19187,0,"STRI2023",,,,,
"Rail freight transport","HUN",17.57322,12.63345,0,"STRI2023",,,,,
"Courier services","HUN",15.53846,20.52819,0,"STRI2023",,,,,
"Distribution services","HUN",19.39144,9.894879,0,"STRI2023",,,,,
"Cargo-handling","HUN",30.98106,15.37451,0,"STRI2023",,,,,
"Storage and warehouse","HUN",32.07306,10.97225,0,"STRI2023",,,,,
"Freight-forwarding","HUN",40.40403,10.79138,0,"STRI2023",,,,,
"Customs brokerage","HUN",13.74046,18.62416,0,"STRI2023",,,,,
"Market bridging and supporting services","HUN",,,,"STRI2023",,,,,
"Legal services","HUN",2.02977,0,0,"STRI2023",,,,,
"Accounting services","HUN",21.23586,5.384062,0,"STRI2023",,,,,
"Commercial banking","HUN",14.63415,10.28369,0,"STRI2023",,,,,
"Insurance","HUN",6.933418,1.742163,0,"STRI2023",,,,,
"Physical infrastructure services","HUN",,,,"STRI2023",,,,,
"Construction","HUN",36.00103,9.83622,0,"STRI2023",,,,,
"Architecture services","HUN",18.94736,6.747789,0,"STRI2023",,,,,
"Engineering services","HUN",31.03203,4.073874,0,"STRI2023",,,,,
"Digital network","IDN",,,,"STRI2023",,,,,
"Computer services","IDN",-5.31725,-6.407663,0,"STRI2023",,,,,
"Telecommunication","IDN",0,-6.538788,0,"STRI2023",,,,,
"Broadcasting","IDN",-1.610734,-12.392,0,"STRI2023",,,,,
"Motion pictures","IDN",-44.62585,-10.95122,0,"STRI2023",,,,,
"Sound recording","IDN",-50.64967,-13.06508,0,"STRI2023",,,,,
"Logistics and related services","IDN",,,,"STRI2023",,,,,
"Air transport","IDN",-24.86288,28.2169,0,"STRI2023",,,,,
"Maritime transport","IDN",-1.476257,-8.469058,0,"STRI2023",,,,,
"Road freight transport","IDN",-5.618831,-8.045046,0,"STRI2023",,,,,
"Rail freight transport","IDN",0,-14.85774,0,"STRI2023",,,,,
"Courier services","IDN",3.300926,-12.58361,0,"STRI2023",,,,,
"Distribution services","IDN",-3.058252,-46.65527,4.55011,"STRI2023",,,,,
"Cargo-handling","IDN",-16.1832,-13.96478,0,"STRI2023",,,,,
"Storage and warehouse","IDN",-17.83232,-9.503885,0,"STRI2023",,,,,
"Freight-forwarding","IDN",-21.64634,-10.11673,0,"STRI2023",,,,,
"Customs brokerage","IDN",-6.05802,-12.53406,0,"STRI2023",,,,,
"Market bridging and supporting services","IDN",,,,"STRI2023",,,,,
"Legal services","IDN",0,-3.765392,0,"STRI2023",,,,,
"Accounting services","IDN",.8655121,-4.55445,0,"STRI2023",,,,,
"Commercial banking","IDN",1.108035,1.095892,0,"STRI2023",,,,,
"Insurance","IDN",-.3319064,.9514766,0,"STRI2023",,,,,
"Physical infrastructure services","IDN",,,,"STRI2023",,,,,
"Construction","IDN",8.317255,-2.779267,0,"STRI2023",,,,,
"Architecture services","IDN",4.294481,-6.862745,0,"STRI2023",,,,,
"Engineering services","IDN",-3.305003,-13.86718,0,"STRI2023",,,,,
"Digital network","IND",,,,"STRI2023",,,,,
"Computer services","IND",3.61082,-9.125424,0,"STRI2023",,,,,
"Telecommunication","IND",-1.316473,-10.08457,0,"STRI2023",,,,,
"Broadcasting","IND",2.516661,-5.294827,0,"STRI2023",,,,,
"Motion pictures","IND",9.710076,4.781882,0,"STRI2023",,,,,
"Sound recording","IND",19.0031,-6.02094,0,"STRI2023",,,,,
"Logistics and related services","IND",,,,"STRI2023",,,,,
"Air transport","IND",-13.16713,-8.187889,0,"STRI2023",,,,,
"Maritime transport","IND",-6.422011,-9.117647,0,"STRI2023",,,,,
"Road freight transport","IND",-1.473411,-6.892065,0,"STRI2023",,,,,
"Rail freight transport","IND",0,0,0,"STRI2023",,,,,
"Courier services","IND",.4355984,-1.958153,0,"STRI2023",,,,,
"Distribution services","IND",-1.250905,-1.509621,0,"STRI2023",,,,,
"Cargo-handling","IND",-10.66668,-4.556162,0,"STRI2023",,,,,
"Storage and warehouse","IND",-3.274421,-.8799424,0,"STRI2023",,,,,
"Freight-forwarding","IND",-3.398055,-.5025121,0,"STRI2023",,,,,
"Customs brokerage","IND",-.2028397,-3.048785,0,"STRI2023",,,,,
"Market bridging and supporting services","IND",,,,"STRI2023",,,,,
"Legal services","IND",0,0,0,"STRI2023",,,,,
"Accounting services","IND",0,0,0,"STRI2023",,,,,
"Commercial banking","IND",3.370781,-3.416148,0,"STRI2023",,,,,
"Insurance","IND",-6.65909,-7.051376,0,"STRI2023",,,,,
"Physical infrastructure services","IND",,,,"STRI2023",,,,,
"Construction","IND",7.987373,-5.464995,0,"STRI2023",,,,,
"Architecture services","IND",8.314401,0,0,"STRI2023",,,,,
"Engineering services","IND",3.414636,-7.14286,0,"STRI2023",,,,,
"Digital network","IRL",,,,"STRI2023",,,,,
"Computer services","IRL",0,18.42176,8.592086,"STRI2023",,,,,
"Telecommunication","IRL",0,23.83577,6.751824,"STRI2023",,,,,
"Broadcasting","IRL",0,1.790278,5.778897,"STRI2023",,,,,
"Motion pictures","IRL",0,17.56632,8.87159,"STRI2023",,,,,
"Sound recording","IRL",0,21.0026,5.857146,"STRI2023",,,,,
"Logistics and related services","IRL",,,,"STRI2023",,,,,
"Air transport","IRL",0,2.45306,1.25685,"STRI2023",,,,,
"Maritime transport","IRL",0,4.999996,1.806244,"STRI2023",,,,,
"Road freight transport","IRL",0,6.265254,9.035226,"STRI2023",,,,,
"Rail freight transport","IRL",0,3.853948,2.929691,"STRI2023",,,,,
"Courier services","IRL",0,6.869592,2.937109,"STRI2023",,,,,
"Distribution services","IRL",-7.274354,4.94527,6.064137,"STRI2023",,,,,
"Cargo-handling","IRL",0,7.704924,3.805171,"STRI2023",,,,,
"Storage and warehouse","IRL",9.310776,4.341959,6.600296,"STRI2023",,,,,
"Freight-forwarding","IRL",0,2.255637,8.088237,"STRI2023",,,,,
"Customs brokerage","IRL",0,6.226418,8.52575,"STRI2023",,,,,
"Market bridging and supporting services","IRL",,,,"STRI2023",,,,,
"Legal services","IRL",0,0,3.339607,"STRI2023",,,,,
"Accounting services","IRL",0,10.80223,4.659503,"STRI2023",,,,,
"Commercial banking","IRL",-6.99999,11.29032,3.86474,"STRI2023",,,,,
"Insurance","IRL",0,3.103918,5.235596,"STRI2023",,,,,
"Physical infrastructure services","IRL",,,,"STRI2023",,,,,
"Construction","IRL",0,6.317991,10.82252,"STRI2023",,,,,
"Architecture services","IRL",0,8.209961,13.68159,"STRI2023",,,,,
"Engineering services","IRL",0,6.499135,11.39138,"STRI2023",,,,,
"Digital network","ISL",,,,"STRI2023",,,,,
"Computer services","ISL",-3.893012,0,0,"STRI2023",,,,,
"Telecommunication","ISL",9.890413,0,0,"STRI2023",,,,,
"Broadcasting","ISL",-5.94144,0,0,"STRI2023",,,,,
"Motion pictures","ISL",-9.275434,0,0,"STRI2023",,,,,
"Sound recording","ISL",-8.53694,0,0,"STRI2023",,,,,
"Logistics and related services","ISL",,,,"STRI2023",,,,,
"Air transport","ISL",-3.007035,0,0,"STRI2023",,,,,
"Maritime transport","ISL",-4.639686,0,0,"STRI2023",,,,,
"Road freight transport","ISL",-8.364459,0,0,"STRI2023",,,,,
"Courier services","ISL",-3.377473,-34.77913,0,"STRI2023",,,,,
"Distribution services","ISL",-3.580201,-2.839232,0,"STRI2023",,,,,
"Cargo-handling","ISL",-4.964535,0,0,"STRI2023",,,,,
"Storage and warehouse","ISL",-4.053586,0,0,"STRI2023",,,,,
"Freight-forwarding","ISL",-4.255315,0,0,"STRI2023",,,,,
"Customs brokerage","ISL",-5.084748,-2.26648,0,"STRI2023",,,,,
"Market bridging and supporting services","ISL",,,,"STRI2023",,,,,
"Legal services","ISL",-3.7594,0,0,"STRI2023",,,,,
"Accounting services","ISL",-3.173876,0,0,"STRI2023",,,,,
"Commercial banking","ISL",-4.391215,-10.43841,0,"STRI2023",,,,,
"Insurance","ISL",-1.825459,-5.833466,0,"STRI2023",,,,,
"Physical infrastructure services","ISL",,,,"STRI2023",,,,,
"Construction","ISL",0,0,0,"STRI2023",,,,,
"Architecture services","ISL",0,0,0,"STRI2023",,,,,
"Engineering services","ISL",0,0,0,"STRI2023",,,,,
"Digital network","ISR",,,,"STRI2023",,,,,
"Computer services","ISR",0,6.821103,0,"STRI2023",,,,,
"Telecommunication","ISR",-22.63436,6.533184,0,"STRI2023",,,,,
"Broadcasting","ISR",0,0,0,"STRI2023",,,,,
"Motion pictures","ISR",0,0,0,"STRI2023",,,,,
"Sound recording","ISR",0,0,0,"STRI2023",,,,,
"Logistics and related services","ISR",,,,"STRI2023",,,,,
"Air transport","ISR",0,0,0,"STRI2023",,,,,
"Maritime transport","ISR",0,5.274974,0,"STRI2023",,,,,
"Road freight transport","ISR",0,7.225628,0,"STRI2023",,,,,
"Rail freight transport","ISR",0,0,0,"STRI2023",,,,,
"Courier services","ISR",1.694191,0,0,"STRI2023",,,,,
"Distribution services","ISR",0,0,0,"STRI2023",,,,,
"Cargo-handling","ISR",0,0,0,"STRI2023",,,,,
"Storage and warehouse","ISR",0,0,0,"STRI2023",,,,,
"Freight-forwarding","ISR",0,0,0,"STRI2023",,,,,
"Customs brokerage","ISR",0,0,0,"STRI2023",,,,,
"Market bridging and supporting services","ISR",,,,"STRI2023",,,,,
"Legal services","ISR",0,0,0,"STRI2023",,,,,
"Accounting services","ISR",0,0,0,"STRI2023",,,,,
"Commercial banking","ISR",-9.463717,7.665501,0,"STRI2023",,,,,
"Insurance","ISR",-5.011604,4.421104,0,"STRI2023",,,,,
"Physical infrastructure services","ISR",,,,"STRI2023",,,,,
"Construction","ISR",0,4.212667,0,"STRI2023",,,,,
"Architecture services","ISR",-5.867965,0,0,"STRI2023",,,,,
"Engineering services","ISR",-9.324209,0,0,"STRI2023",,,,,
"Digital network","ITA",,,,"STRI2023",,,,,
"Computer services","ITA",0,0,0,"STRI2023",,,,,
"Telecommunication","ITA",6.48568,7.16592,0,"STRI2023",,,,,
"Broadcasting","ITA",0,7.343126,0,"STRI2023",,,,,
"Motion pictures","ITA",0,13.12174,0,"STRI2023",,,,,
"Sound recording","ITA",0,12.31527,0,"STRI2023",,,,,
"Logistics and related services","ITA",,,,"STRI2023",,,,,
"Air transport","ITA",0,2.781057,0,"STRI2023",,,,,
"Maritime transport","ITA",0,0,0,"STRI2023",,,,,
"Road freight transport","ITA",0,0,0,"STRI2023",,,,,
"Rail freight transport","ITA",0,0,0,"STRI2023",,,,,
"Courier services","ITA",0,0,0,"STRI2023",,,,,
"Distribution services","ITA",0,0,0,"STRI2023",,,,,
"Cargo-handling","ITA",0,0,0,"STRI2023",,,,,
"Storage and warehouse","ITA",6.21966,0,0,"STRI2023",,,,,
"Freight-forwarding","ITA",0,0,0,"STRI2023",,,,,
"Customs brokerage","ITA",0,0,0,"STRI2023",,,,,
"Market bridging and supporting services","ITA",,,,"STRI2023",,,,,
"Legal services","ITA",-4.545461,0,0,"STRI2023",,,,,
"Accounting services","ITA",0,0,0,"STRI2023",,,,,
"Commercial banking","ITA",19.8895,30.41474,0,"STRI2023",,,,,
"Insurance","ITA",0,0,0,"STRI2023",,,,,
"Physical infrastructure services","ITA",,,,"STRI2023",,,,,
"Construction","ITA",0,4.683084,0,"STRI2023",,,,,
"Architecture services","ITA",0,0,0,"STRI2023",,,,,
"Engineering services","ITA",0,0,0,"STRI2023",,,,,
"Digital network","JPN",,,,"STRI2023",,,,,
"Computer services","JPN",-13.59483,0,0,"STRI2023",,,,,
"Telecommunication","JPN",0,0,0,"STRI2023",,,,,
"Broadcasting","JPN",0,0,0,"STRI2023",,,,,
"Motion pictures","JPN",-16.78487,0,0,"STRI2023",,,,,
"Sound recording","JPN",-17.99688,0,0,"STRI2023",,,,,
"Logistics and related services","JPN",,,,"STRI2023",,,,,
"Air transport","JPN",-4.057963,-1.208456,0,"STRI2023",,,,,
"Maritime transport","JPN",-9.894741,0,0,"STRI2023",,,,,
"Road freight transport","JPN",-13.50319,0,0,"STRI2023",,,,,
"Rail freight transport","JPN",-9.774444,0,0,"STRI2023",,,,,
"Courier services","JPN",-9.917355,0,0,"STRI2023",,,,,
"Distribution services","JPN",-11.76152,-6.42481,0,"STRI2023",,,,,
"Cargo-handling","JPN",-16.80161,-10.94891,0,"STRI2023",,,,,
"Storage and warehouse","JPN",-15.99761,-6.826908,0,"STRI2023",,,,,
"Freight-forwarding","JPN",-11.11111,-7.812502,0,"STRI2023",,,,,
"Customs brokerage","JPN",-33.27841,-4.44445,0,"STRI2023",,,,,
"Market bridging and supporting services","JPN",,,,"STRI2023",,,,,
"Legal services","JPN",0,0,0,"STRI2023",,,,,
"Accounting services","JPN",-6.171732,-2.859864,0,"STRI2023",,,,,
"Commercial banking","JPN",-10.46932,0,0,"STRI2023",,,,,
"Insurance","JPN",-21.1332,0,0,"STRI2023",,,,,
"Physical infrastructure services","JPN",,,,"STRI2023",,,,,
"Construction","JPN",-8.936825,-11.75973,0,"STRI2023",,,,,
"Architecture services","JPN",-9.202453,0,0,"STRI2023",,,,,
"Engineering services","JPN",-17.26384,0,0,"STRI2023",,,,,
"Digital network","KAZ",,,,"STRI2023",,,,,
"Computer services","KAZ",-5.401504,-1.097102,0,"STRI2023",,,,,
"Telecommunication","KAZ",-5.953054,-.3148943,.9479487,"STRI2023",,,,,
"Broadcasting","KAZ",10.24297,-2.484879,0,"STRI2023",,,,,
"Motion pictures","KAZ",-3.296279,-4.518427,0,"STRI2023",,,,,
"Sound recording","KAZ",-2.267474,-3.882571,0,"STRI2023",,,,,
"Logistics and related services","KAZ",,,,"STRI2023",,,,,
"Air transport","KAZ",-.4825505,2.380955,0,"STRI2023",,,,,
"Maritime transport","KAZ",2.450969,-1.052634,0,"STRI2023",,,,,
"Road freight transport","KAZ",-6.925952,-2.346878,0,"STRI2023",,,,,
"Rail freight transport","KAZ",0,0,0,"STRI2023",,,,,
"Courier services","KAZ",-71.90886,2.056871,0,"STRI2023",,,,,
"Distribution services","KAZ",-.8146942,-.4721249,0,"STRI2023",,,,,
"Cargo-handling","KAZ",.5507405,-.2347441,0,"STRI2023",,,,,
"Storage and warehouse","KAZ",-2.788184,-5.14681,0,"STRI2023",,,,,
"Freight-forwarding","KAZ",-4.347822,-8.636366,0,"STRI2023",,,,,
"Customs brokerage","KAZ",-1.617255,-5.753425,0,"STRI2023",,,,,
"Market bridging and supporting services","KAZ",,,,"STRI2023",,,,,
"Legal services","KAZ",14.94103,-.3420799,0,"STRI2023",,,,,
"Accounting services","KAZ",-3.42697,.5817351,0,"STRI2023",,,,,
"Commercial banking","KAZ",1.363638,10.98655,0,"STRI2023",,,,,
"Insurance","KAZ",-19.29077,17.41656,0,"STRI2023",,,,,
"Physical infrastructure services","KAZ",,,,"STRI2023",,,,,
"Construction","KAZ",2.168311,-2.467169,0,"STRI2023",,,,,
"Architecture services","KAZ",-5.238091,-4.924625,0,"STRI2023",,,,,
"Engineering services","KAZ",-7.709339,-3.120501,0,"STRI2023",,,,,
"Digital network","KOR",,,,"STRI2023",,,,,
"Computer services","KOR",-7.365479,23.62448,-25.90055,"STRI2023",,,,,
"Telecommunication","KOR",-6.743326,3.996939,-10.69451,"STRI2023",,,,,
"Broadcasting","KOR",-.7216555,.4153628,-9.513957,"STRI2023",,,,,
"Motion pictures","KOR",-7.373867,14.61825,-18.52153,"STRI2023",,,,,
"Sound recording","KOR",-8.748669,12.37652,-16.95966,"STRI2023",,,,,
"Logistics and related services","KOR",,,,"STRI2023",,,,,
"Air transport","KOR",2.608545,.7916027,-3.604692,"STRI2023",,,,,
"Maritime transport","KOR",-4.700459,-4.835593,-4.471546,"STRI2023",,,,,
"Road freight transport","KOR",3.751706,24.06311,-25.01324,"STRI2023",,,,,
"Rail freight transport","KOR",0,0,0,"STRI2023",,,,,
"Courier services","KOR",-2.42289,-.0349324,-3.459437,"STRI2023",,,,,
"Distribution services","KOR",-9.17089,9.459551,-14.47666,"STRI2023",,,,,
"Cargo-handling","KOR",-8.101852,3.778338,-12.13592,"STRI2023",,,,,
"Storage and warehouse","KOR",-11.22019,20.25653,-24.38396,"STRI2023",,,,,
"Freight-forwarding","KOR",-11.22994,19.2771,-22.22223,"STRI2023",,,,,
"Customs brokerage","KOR",-6.370659,11.75258,-17.71218,"STRI2023",,,,,
"Market bridging and supporting services","KOR",,,,"STRI2023",,,,,
"Legal services","KOR",-2.479189,2.420335,-4.828293,"STRI2023",,,,,
"Accounting services","KOR",0,0,0,"STRI2023",,,,,
"Commercial banking","KOR",-11.9681,3.021146,-9.384166,"STRI2023",,,,,
"Insurance","KOR",-2.106299,8.807567,-14.7847,"STRI2023",,,,,
"Physical infrastructure services","KOR",,,,"STRI2023",,,,,
"Construction","KOR",-12.43862,25.42056,-24.59016,"STRI2023",,,,,
"Architecture services","KOR",-9.308753,40.14228,-31.90718,"STRI2023",,,,,
"Engineering services","KOR",-13.83333,29.27143,-27.93018,"STRI2023",,,,,
"Digital network","LTU",,,,"STRI2023",,,,,
"Computer services","LTU",22.95181,7.470745,0,"STRI2023",,,,,
"Telecommunication","LTU",25.41508,14.41603,0,"STRI2023",,,,,
"Broadcasting","LTU",17,0,0,"STRI2023",,,,,
"Motion pictures","LTU",15.6991,19.08127,-3.086052,"STRI2023",,,,,
"Sound recording","LTU",8.783067,15.5642,0,"STRI2023",,,,,
"Logistics and related services","LTU",,,,"STRI2023",,,,,
"Air transport","LTU",1.104969,1.236341,0,"STRI2023",,,,,
"Maritime transport","LTU",11.61525,4.715451,0,"STRI2023",,,,,
"Road freight transport","LTU",12.45043,5.430182,0,"STRI2023",,,,,
"Rail freight transport","LTU",15.83513,3.558055,0,"STRI2023",,,,,
"Courier services","LTU",4.486907,9.212015,0,"STRI2023",,,,,
"Distribution services","LTU",5.219936,4.995666,0,"STRI2023",,,,,
"Cargo-handling","LTU",31.42078,9.77131,0,"STRI2023",,,,,
"Storage and warehouse","LTU",40.87929,5.72133,0,"STRI2023",,,,,
"Freight-forwarding","LTU",20.75472,2.343757,0,"STRI2023",,,,,
"Customs brokerage","LTU",19.67214,5.650676,0,"STRI2023",,,,,
"Market bridging and supporting services","LTU",,,,"STRI2023",,,,,
"Legal services","LTU",1.729705,0,0,"STRI2023",,,,,
"Accounting services","LTU",6.830916,7.861634,0,"STRI2023",,,,,
"Commercial banking","LTU",4.285721,3.196352,0,"STRI2023",,,,,
"Insurance","LTU",10.65667,2.3614,0,"STRI2023",,,,,
"Physical infrastructure services","LTU",,,,"STRI2023",,,,,
"Construction","LTU",30.35441,5.354609,0,"STRI2023",,,,,
"Architecture services","LTU",5.590067,8.97059,0,"STRI2023",,,,,
"Engineering services","LTU",22.30291,6.361323,0,"STRI2023",,,,,
"Digital network","LUX",,,,"STRI2023",,,,,
"Computer services","LUX",0,7.533242,0,"STRI2023",,,,,
"Telecommunication","LUX",0,12.5039,0,"STRI2023",,,,,
"Broadcasting","LUX",3.271287,0,0,"STRI2023",,,,,
"Motion pictures","LUX",0,4.862333,0,"STRI2023",,,,,
"Sound recording","LUX",0,7.627764,0,"STRI2023",,,,,
"Logistics and related services","LUX",,,,"STRI2023",,,,,
"Air transport","LUX",0,1.156035,0,"STRI2023",,,,,
"Road freight transport","LUX",0,5.535584,0,"STRI2023",,,,,
"Rail freight transport","LUX",0,-16.09849,0,"STRI2023",,,,,
"Courier services","LUX",0,8.728344,0,"STRI2023",,,,,
"Distribution services","LUX",7.961759,3.554625,0,"STRI2023",,,,,
"Cargo-handling","LUX",0,12.23958,0,"STRI2023",,,,,
"Storage and warehouse","LUX",9.162011,4.278398,0,"STRI2023",,,,,
"Freight-forwarding","LUX",0,2.521016,0,"STRI2023",,,,,
"Customs brokerage","LUX",0,6.932769,0,"STRI2023",,,,,
"Market bridging and supporting services","LUX",,,,"STRI2023",,,,,
"Legal services","LUX",0,-79.86691,0,"STRI2023",,,,,
"Accounting services","LUX",0,5.597014,0,"STRI2023",,,,,
"Commercial banking","LUX",8.045983,3.723398,0,"STRI2023",,,,,
"Insurance","LUX",6.506112,1.940603,0,"STRI2023",,,,,
"Physical infrastructure services","LUX",,,,"STRI2023",,,,,
"Construction","LUX",0,4.988986,0,"STRI2023",,,,,
"Architecture services","LUX",0,6.262835,0,"STRI2023",,,,,
"Engineering services","LUX",0,4.391101,0,"STRI2023",,,,,
"Digital network","LVA",,,,"STRI2023",,,,,
"Computer services","LVA",0,9.128516,0,"STRI2023",,,,,
"Telecommunication","LVA",16.6381,12.52606,0,"STRI2023",,,,,
"Broadcasting","LVA",10.0091,0,0,"STRI2023",,,,,
"Motion pictures","LVA",0,11.25938,0,"STRI2023",,,,,
"Sound recording","LVA",0,17.87709,0,"STRI2023",,,,,
"Logistics and related services","LVA",,,,"STRI2023",,,,,
"Air transport","LVA",-1.315791,1.206669,0,"STRI2023",,,,,
"Maritime transport","LVA",0,6.791564,0,"STRI2023",,,,,
"Road freight transport","LVA",0,6.427386,0,"STRI2023",,,,,
"Rail freight transport","LVA",0,3.11987,0,"STRI2023",,,,,
"Courier services","LVA",7.189531,7.926838,0,"STRI2023",,,,,
"Distribution services","LVA",0,4.973667,0,"STRI2023",,,,,
"Cargo-handling","LVA",0,11.27098,0,"STRI2023",,,,,
